COMPOUND,HMDB ID,KEGG ID,348 E,324 E,441 E,176 E,348 R,535 E,383 E,57 R,517 R,324 R,822 R,318 R,796 E,287 E,441 R,383 R,176 R,318 R,153 R,822 E,153 E,142 E,57 E,517 E,142 R,287 R,796 R,535 R,176 E,441 E,535 E,796 R,441 R,796 E,517 E,383 E,535 R,324 R,348 E,517 R,383 R,287 R,153 R,822 R,822 E,348 R,324 E,176 R,153 E,287 E,142 R,142 E,318 R,318 E
5_6-Dihydrothymine,HMDB00079,C00906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pyroglutamic Acid,HMDB00267,C01879,885078,619615,344755,424815,747769,640772,852025,401977,616820,642277,502541,285629,500858,279963,306114,389202,472460,169192,1686551,657792,2262309,181179,751267,533846,123033,747591,257665,578170,602279,223773,632813,105488,535502,126432,803373,439113,1370320,816547,769579,700889,449274,840656,812613,625805,517363,679003,478298,2278980,1285275,492488,355955,251286,1055841,844726
Pipecolate,HMDB00070,C00408,564502,148395,227713,435627,257438,218628,219566,118979,213330,330175,111392,70580,658605,176592,210711,232566,402613,151628,525413,200080,665713,87515,175956,510491,69336,101657,97466,145711,323836,136114,110270,40203,228701,96811,244474,133683,164108,298532,498578,191552,126097,175425,278467,97675,99427,150722,196243,355600,429641,166238,184506,117336,174583,247263
Agmatine,HMDB01432,C00179,226247,78321,166657,242873,162942,239637,223115,173172,225884,169997,187042,68035,173925,114882,196746,222039,230641,111214,275968,235660,206663,29805,196177,230580,21443,66680,73165,198924,138760,102706,158076,16523,164789,18003,86235,137789,197519,143207,202007,146197,130433,108820,98080,133785,136209,82457,111875,181294,153288,83730,72291,73163,141708,194960
N-Acetylputrescine,HMDB02064,C02714,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Creatine,HMDB00064,C00300,255350,285164,271823,251436,239101,248883,250152,241616,226046,259155,255223,263801,206160,197867,206136,201782,210084,196790,181421,237597,170320,211916,155731,164913,163974,216050,204726,208425,181000,130381,212625,207922,184804,1906936,185454,195494,288474,174164,171928,161208,188565,176835,189901,298088,189574,162547,166447,138962,160334,148728,143333,137540,141287,132420
Hydroxyproline,HMDB00725,C01157,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aminolevulinate,HMDB01149,C00430,229674,189661,192559,538676,79639,99680,128823,28592,102193,186769,71205,20322,207032,226285,176294,81720,151514,121376,98296,414478,146078,22545,82333,192640,18806,71673,28744,54843,242055,178736,66879,18769,181543,36345,165523,109233,120745,203108,240873,95036,63500,83623,48879,58806,222981,49109,201433,289570,127184,214600,33832,72912,79197,307777
Leucine /D-Norleucine,HMDB00687,C00123,18517983,7282560,14199191,20322019,6900254,9750261,26288232,8814812,13407769,19783923,10223608,2938967,14483338,8851840,19787214,23809545,14280822,4996646,21053407,16714245,21100363,1909648,11264632,23130783,1480745,1776960,4233551,6925616,14420895,7477722,5523251,871406,13714307,1451676,6746547,14546343,6420092,21008497,17319601,9392669,12850829,5715343,8592265,7104968,9869936,4144983,15457862,12760633,15222428,8509434,7276887,7308619,6819704,14239429
iso-Leucine /allo-isoLeucine,HMDB00172/HMDB00557,C00407/C21096,4515466,1643462,3347111,4392347,1550011,2233765,5806677,2008045,3037993,4615373,2376716,743953,3136520,2056433,4530911,5698945,3065074,1196339,4463743,3414624,5227212,507092,2624400,5573143,396661,421488,1078861,1561606,3337345,1648878,1316709,236256,2837313,351098,1530427,3282521,1417946,4641810,3723656,2184168,2771901,1185830,2069070,1703627,2149318,1017107,3805543,2516055,3557030,1867872,1834401,1813386,1519437,3018660
Ornithine,HMDB0000214,C01602,1982241,1221833,2347587,2731501,2722211,3979585,1122360,2072389,1788084,3858321,1249316,1104345,3054209,2561928,3777539,1196867,2523921,1262118,3814038,1643981,3731443,509668,2084514,2294863,305625,1030666,1231906,2642537,1257046,1353364,2166659,319455,2292243,294208,1044954,703021,2265632,3832860,1759611,1268707,684240,2973287,1362186,799802,777521,1100139,2311920,1774053,2314464,1458828,918915,576108,1684986,2724526
Asparagine,HMDB00168,C00152,9497960,1367537,4879210,7841576,7685637,7706903,7626263,4508018,7858924,5313807,6177777,2414486,4595454,2773260,5614563,7990588,7427751,2547113,7771785,6466622,6403015,859997,3764413,6613984,795300,1611380,3132167,5473330,5948168,2426890,4862490,487982,4768068,444085,2490119,4933107,5613958,4223351,8513345,5931969,4690715,4671239,3004255,3248485,3279741,4254747,2111301,5383269,4103559,2065850,2849572,1856653,4356433,4779881
Aspartic Acid,HMDB00191,C00049,4085112,735043,2548867,4110554,3600985,2480923,3655885,2037420,2983849,2711405,2336396,908147,3043941,2043576,3274059,3557998,3835542,1341129,4903261,4082715,5188423,511959,1763744,4387424,393353,780595,1580420,1434625,1530950,1154004,627437,366869,1365134,353483,1611402,1231630,1012758,1391447,1678248,2076573,1330151,1589835,571170,706845,1154711,1321253,783417,1917800,2200452,1227447,870807,508809,2049634,1977876
Homocysteine,HMDB00742,C00155,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S-Methylcysteine,HMDB02108,C22040,273155,93091,275998,337853,156530,305522,312756,308848,357823,221715,169509,164873,218071,173034,366634,399609,354614,110670,270403,192160,350188,69911,277100,560633,75293,62641,177158,230330,178000,103277,117295,39259,155230,35832,94728,252781,93891,182830,290108,201056,199119,142822,158059,136539,162898,79070,178044,94307,199487,130965,179304,150113,119311,223580
1-Methylnicotinamide,HMDB00699,C02918,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyramine,HMDB00306,C00483,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4-Aminobenzoic Acid,HMDB01392,C00568,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trigonelline,HMDB00875,C01004,563524,511379,203628,255252,534028,202702,592317,168775,373865,278564,285366,115432,319187,177254,223464,221595,246025,125140,426135,429326,324718,144826,409505,208140,115986,674464,122781,133838,298843,144393,243343,70613,327709,78176,1014001,265049,1213697,554000,415888,554145,248732,693593,199111,249095,223599,302866,444154,2470459,273281,352915,242396,200702,831026,458432
1-Methylimidazole Acetate,HMDB02820,C05828,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Imidazole Propionate,HMDB02271,C20522,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spermidine,HMDB01257,C00315,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4-Guanidinobutanoate,HMDB03464,C01035,15437501,9538068,17072445,21127975,6991997,29864031,57701026,16327404,20799059,22283036,414611,8053235,26671027,11929328,16025178,53080569,21517528,13812842,63878119,473200,55927183,7412216,16400586,33597259,5228522,3786803,10395870,22824690,15772992,8604976,20833137,2147566,15518031,3195862,11748193,39352642,18006427,17833789,16193763,17008020,34897022,8754968,25086432,295166,216823,4748889,15390059,10302164,36769213,8376370,20085337,23268897,13953542,26596367
Acetylcholine,HMDB00895,C01996,17734,17512,43913,61883,22225,69378,20805,33490,115668,33548,29426,10865,24960,20673,48582,40145,83085,13303,54292,75567,76641,40160,31676,96075,37630,195369,53312,99584,1111167,770162,3208996,131410,2956220,56689,685898,1511662,3628001,647368,1453471,1091137,607640,357408,437100,488168,255925,258098,221151,785105,243882,167861,151256,62272,379526,338897
Glutamine,HMDB00641,C00064,118822260,17180867,58950968,111564745,210830659,155623549,105059022,87787427,103265702,70098380,90630178,44665572,60891245,39098740,62262148,113930384,111557502,33999068,113659434,75041396,79021172,9976750,45726139,73630541,9053313,37452903,62038153,136524129,83244406,26560931,103321798,12551798,52406299,8489132,26940587,78467897,116101109,51506537,110836573,82127169,77044632,112723368,43939017,60407836,47282560,106948474,22736297,69006095,54696320,30177325,30251582,18953608,68697925,55613619
Lysine,HMDB00182,C00047,105787574,20952551,75423668,71948372,79864400,125399035,61706978,80046247,83161074,65025582,82230850,41700685,71313494,56584569,99384510,62027365,77054796,49727825,109593407,101273229,91300155,10253531,69677977,81549394,6841842,23992909,29642186,89775200,36951622,40850731,74686803,4964978,72023474,6366842,25326302,30837818,75754288,53467010,85570411,58414953,27501636,59416401,37378237,48203099,47052078,35664309,34693597,40185607,54595195,35171671,28625857,18826822,65892055,97217237
