COMPOUND,HMDB ID,KEGG ID,348 E,324 E,441 E,176 E,348 R,535 E,383 E,57 R,517 R,324 R,822 R,318 R,796 E,287 E,441 R,383 R,176 R,318 R,153 R,822 E,153 E,142 E,57 E,517 E,142 R,287 R,796 R,535 R,176 E,441 E,535 E,796 R,441 R,796 E,517 E,383 E,535 R,324 R,348 E,517 R,383 R,287 R,153 R,822 R,822 E,348 R,324 E,176 R,153 E,287 E,142 R,142 E,318 R,318 E
N-Ac-Alanine,HMDB00766,N/A,111282,48280,62516,85161,55930,62425,104209,66548,82376,71659,72437,31149,64769,69185,58236,91389,79030,31477,96927,94969,105775,18725,85113,106612,19151,39221,33858,48847,72882,39613,53745,15480,69151,18056,59005,61283,79209,80570,91798,64523,59931,51516,47495,57485,59228,42394,75368,122269,64803,66723,44167,54721,67375,92542
MethylSuccinate,HMDB01844,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D-Leucic Acid,HMDB00624,C03264,354315,225256,231951,449305,123675,189210,526234,150790,178583,551467,308907,71885,361445,202689,295456,492424,240143,77918,633792,509439,491044,78535,209111,264793,65974,112923,117409,163909,333540,134054,119645,46282,214379,64861,176031,286763,194537,534240,308262,162185,230337,112922,201427,176100,198304,92117,493919,404001,225283,173994,134255,128647,144217,209872
Glutaric Acid,HMDB00661,C00489,193579,72090,82364,154351,57679,62261,61794,57384,52196,82485,42755,52055,115846,61112,71610,59035,96653,57183,76909,60813,114048,121959,65965,80252,66512,59079,40871,65066,133099,55125,41805,59744,57670,49014,59367,38327,45383,82064,141879,39338,36150,47857,64551,29356,36313,44089,67541,101693,117482,55037,42233,47672,57930,46741
Oxalacetate,HMDB00223,C00036,197029,213124,189508,230296,194047,208658,206819,204219,189461,204281,188453,203366,191680,205684,192911,195785,216041,219847,191585,162765,212473,214464,206852,210204,234195,190363,191947,188760,211641,193360,188271,211950,179412,216663,184058,201347,177040,204915,207029,189506,200318,185944,185820,193609,202399,190990,200914,156414,194120,209322,213231,219938,196509,207409
Ethylmalonic acid,HMDB00622,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Carbamoyl-B-Alanine,HMDB00026,C02642,57734,17894,36465,135912,37112,57112,92505,58101,70582,33229,51442,16249,80232,56807,38338,90379,83722,27328,52445,93231,70532,15875,78684,70653,7491,17476,35438,31143,101707,21160,43004,7804,37981,13602,32601,75473,41822,41573,54184,43957,61556,38281,22453,47678,48940,26954,48062,60285,51469,50090,35180,38519,35101,80884
Malate,HMDB00156,C00149,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adenine,HMDB00034,C00147,1889580,880656,2154301,1054264,1464603,982164,2172584,639741,943823,868123,630819,411901,1552343,965204,972348,1545750,789300,394718,1366587,906332,1179036,199698,1290028,1094123,108558,700535,460634,559505,454433,240778,263462,54579,484400,87841,915740,477038,1073234,578348,644891,619633,352762,817079,274675,289680,294050,439207,599165,2187432,471881,484412,305347,179721,1465348,1326994
Allopurinol,HMDB14581,D00224,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hypoxanthine,HMDB00157,C00262,10709064,4117664,2633124,7071313,2859690,3480043,7505808,2537563,4859256,5124163,2388474,2082310,3952431,1995359,2542775,4657584,3419522,1388612,4707729,3030565,8248027,441820,6748935,12538407,606103,793836,1436577,2569256,13165811,3926073,5463039,475391,5867945,608175,3882773,6279853,6401668,9142811,12634458,6905114,4895092,3362270,6007122,2299882,4033326,5679821,8097165,9975281,8962792,6805652,4455179,5558465,5224251,12061534
Phenylacetic Acid,HMDB00209,C07086,18039,16386,15061,10175,14175,10945,16092,12295,8771,12495,11981,14882,10364,15509,16428,9709,13296,19517,8806,9766,7020,14564,12120,7272,16615,23914,14461,11746,15713,20570,18837,16208,16418,14213,22629,14998,22730,13110,10901,14298,13105,18274,13703,16311,16169,17726,16645,22487,18685,18520,15877,23454,19932,15270
Erythronic/Threonic Acid,HMDB00613/HMDB000943,NA/C01620,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthranilic Acid,HMDB01123,C00108,12637040,11283657,4585584,2981574,12505092,4040735,15172616,1931349,8948819,6499872,6525298,1479704,6899948,3187236,3856077,4924337,3676978,1554937,9077099,9025206,5000286,1879779,9812209,4445541,801958,12431063,1760316,1955555,6366685,1859343,4149046,272309,5918516,769008,16184798,6006589,19635804,11867533,7769985,11812259,4870661,12421091,3277126,5495806,4499053,5679365,8621008,34637050,4672362,7431202,5023731,1936332,16994883,10666001
4-Hydroxybenzoic Acid,HMDB00500,C00156,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acetylphosphate,HMDB01494,C00227,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
o-Phosphoethanolamine,HMDB0000224,C00346,5138387,3817629,2572742,4371319,1657677,8891223,4960968,1637768,5182969,6990899,1804852,912659,1919826,1846549,3562425,4395699,3653293,1985006,7422946,4239728,7718158,834937,3015138,5628846,382725,792972,736706,5353571,2244068,2000025,6608522,264225,2462863,267580,1984826,2547765,4564976,6247080,5277182,3157227,2264211,1077856,2847709,1168903,1939458,1121690,7036644,2318706,4699636,1373972,1323660,799686,1837053,4356737
n-isoButyrylglycine,HMDB00730,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adipic Acid / 3-Methylglutaric Acid,HMDB00448/HMDB00752,C06104/NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alpha-Ketoglutaric Acid,HMDB00208,C00026,7760056,1993651,6999818,6679236,4345030,6004854,5396115,5305072,4425151,3207534,7515122,2042537,4719070,2382339,6819978,5232410,7196629,2974549,6462910,6498043,8414223,630921,7653445,2975278,305971,845618,1607834,2843797,3668947,3538122,3778592,193364,4800970,284286,918354,3456079,3535676,2463596,7752753,2544939,3837235,3923613,5507144,6658474,7919107,4296874,3702897,4087309,9137062,3247915,3284122,3612564,4836739,7741828
2-Methylglutaric Acid,HMDB00422,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mevalonate,HMDB00227,C00418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Hydroxyglutarate,HMDB59655,C02630,50956762,28364145,22723263,60864769,23926650,36569515,76647372,26292468,35448673,44667711,43624448,16944453,40852389,41820087,26457059,74052103,47589601,16179426,52846305,35284792,53698405,9095680,42846483,56912373,7155837,16391142,32746206,42779329,72286405,31035310,41330540,4456998,35467062,5653736,28767355,68125643,40425010,49337069,70450680,61554612,57711179,30393097,59618084,49926514,52380535,33621242,39694446,58841857,57153267,40076775,34887982,37313825,23549483,44930247
Citramalic Acid,HMDB0000426,C00815,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L-Tartaric Acid,HMDB59916,C00898,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xylose,HMDB00098,C00181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
alpha-Ketophenylacetic Acid,HMDB0001587,C02137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hydrocinnamic Acid,HMDB00764,C05629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oxypurinol,HMDB00786,C07599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xanthine,HMDB00292,C00385,7328383,1522046,1917825,4404445,3695666,1990647,5424431,1440543,4147935,2472278,3236695,1030926,3080797,1522096,2265571,4938797,2679976,765882,5450707,3937817,5187361,468997,2782265,5654888,381926,718930,2183543,1678452,4545357,1548690,2011225,241537,2313098,257906,1775889,2552911,2494658,3152219,5746861,3114719,2440362,1676426,2916932,1908185,2420091,2407535,2729357,4086604,3541439,2430138,1790477,1680857,2331834,3687171
2-Hydroxyphenylacetate,HMDB62635,C01983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L-Mandelic Acid,HMDB00703,C01984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arabitol/Xylitol,HMDB00568,C01904,573154,281817,189924,280652,252154,195991,414210,89419,360136,229579,314982,93399,232686,130745,178550,243780,209790,86555,356666,276944,356061,50605,296295,752326,50192,216526,52705,139539,375433,118566,177209,17805,226716,41261,435246,217997,493570,334158,565280,394701,163853,260757,173181,213861,209021,186585,294608,1069268,345439,238849,158576,160531,396311,373578
3/4-Hydroxyphenylacetic Acid,HMDB0000440/HMDB60390,C05593/C00642,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Hydroxyanthranilic Acid,HMDB01476,C00632,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dopamine,HMDB00073,C03758,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Sulfinoanaline,HMDB0000996,C00606,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_3-Dihydroxybenzoic Acid,HMDB00397,C00196,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gentisate,HMDB00152,C00628,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Orotate,HMDB00226,C00295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Allantoin,HMDB00462,C01551,267447,215835,604521,670540,238795,607091,389575,577748,245936,232985,228241,449491,494185,155548,828826,228808,596751,336584,842311,266930,950715,60045,515783,275231,54021,149147,237465,492028,374024,296213,360505,59720,527989,55493,230718,110703,527212,272628,171813,203018,116011,198008,294683,160725,140434,98506,436814,768472,673841,134586,74222,67465,772578,772621
n-isoValerylglycine,HMDB00678,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Aminoadipate,HMDB00510,C00956,281319,69378,207627,228813,61263,35475,231874,153067,133588,214845,35247,34080,385632,81323,188428,244590,228290,110468,465440,69642,441836,36925,178663,423862,26448,29693,37569,26154,185671,100654,21584,9154,167693,30795,147341,97880,13807,171286,213833,125803,83317,55267,228219,13115,22270,39107,93368,158119,282467,59598,67241,37935,70973,143413
Indole-3-Carboxylic Acid,HMDB03320,C19837,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indole-2-Carboxylic Acid,HMDB02285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Methyl-3-Hydroxyglutaric Acid,HMDB0000355,C03761,24978,16352,20031,22818,19066,20021,16074,20886,20789,19163,25215,18827,32579,22765,16039,16336,20241,19343,22876,33555,22188,19393,23181,23814,22291,16382,15929,19979,17760,14970,11795,12864,16479,16207,16354,11770,14977,16263,21408,13183,11301,14635,16049,15568,14652,12393,14431,16728,17078,12525,13546,14377,13518,20995
PPA,HMDB00205,C00166,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Hydroxycinnaminic Acid,HMDB02035,C00811,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
p-Coumaric Acid,HMDB01713,C12621,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xylonate,HMDB60256,C05411,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phenyllactic Acid,HMDB0000779,C05607,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-(4-Hydroxyphenyl)Propionate,HMDB02199,C01744,77666,79921,69134,56395,71486,44449,52970,60282,95800,50649,40101,57271,86212,68096,67933,50735,62204,57831,54881,53439,72710,48521,59286,47603,54794,50821,59495,56475,57418,43668,70997,38205,48019,43014,48705,56843,39505,49562,43602,59727,44120,40565,58339,43301,48424,52929,60551,41683,49665,54372,67068,50751,53476,66280
Quinolinic Acid,HMDB0000232,C03722,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEP,HMDB00263,C00074,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Homogentisate,HMDB00130,C00544,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Urate,HMDB00289,C00366 ,46976770,15960137,16156553,24994258,42246661,18706819,42025337,16811465,37624150,23354067,30891496,16024831,30211830,24408749,15200605,41219760,15260214,13802590,18491780,43569726,18099609,11740519,13888669,38622374,9024047,14806523,29423704,18837814,16778362,8699449,14650848,6048435,10953601,5360119,12915992,19998401,15199166,19305399,25352760,21100071,20649079,23150114,10870735,16900208,19449673,16510184,14320095,10668052,12432856,16929044,13624808,11590567,20371902,19653308
DHAP/D-GA3P,HMDB01473,C00111,96949,98740,73036,79032,76250,78504,95977,88045,87360,72794,83485,77996,68391,129580,98445,96280,87441,94664,109710,103056,81391,88107,86563,81475,104506,124733,83184,99610,71559,78497,107743,70604,92679,130320,125397,68428,116709,80739,79074,66836,56719,76623,65197,91391,70628,113115,96062,144731,85469,67996,49958,135084,103088,74284
Glycerol-3-P,HMDB00126,C00093,28584491,6060776,26845055,68563850,10017737,68161257,32009102,20476714,21625901,20812852,14178285,5584028,21061358,10778871,38959278,39460043,50554588,7620255,42249874,57054493,30252936,3615942,13773967,20329486,1492114,2508998,4631517,38784903,18640069,10927400,21221123,761542,19425305,1011778,7365355,12951944,18769134,16146895,24533458,11599926,10745184,6901884,9375356,8644348,12684653,3635036,13911401,14787206,20076378,4550076,6220059,3306883,10766405,22109060
trans-Aconitate,HMDB00958,C02341,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shikimic Acid,HMDB03070,C00493,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
