Sample Name,062618QPJ1,062618QPJ2,062618QPJ3,062618QPJ4,062618QPJ5,062618QPJ6,062618QPJ7,062618QPJ8,062618QPJ9,062618QPJ10,062618QPJ11,062618QPJ12,062618QPJ13,062618QPJ14,062618QPJ15,062618QPJ16,062618QPJ17,062618QPJ18,062618QPJ19,062618QPJ20,062618QPJ21,062618QPJ22,062618QPJ23,062618QPJ24,062618QPJ25
NAD+_posi,12007977.92,9364094.289,9334187.91,9720774.856,8618697.217,10367181.24,9101466.19,11247715.12,9805747.163,10020101.59,9566374.059,12302179.72,9634504.093,10845386.12,9729848.59,11686401.76,11273174.13,7611911.142,9911089.995,10751520.83,9646566.45,10963274.81,9160966.296,10245806.95,14889621.39
NADH,157065.912,195940.4963,182427.5672,131754.4651,128375.369,167223.3463,135976.3188,114864.8668,129216.118,119923.4326,114860.2465,77702.74981,43915.87877,119929.5726,111484.6305,80222.41691,12669.09903,111482.4312,58284.49584,42226.88122,77700.21849,44774.70005,26181.48067,47294.76016,103037.7973
dephospho-CoA-posi,4926.251567,12994.39038,6861.898538,5256.598272,21152.05231,8308.852448,34631.13821,34626.02274,38852.53212,32944.33334,20269.84424,35472.26386,32093.498,31245.69769,18580.03836,18580.06677,8445.115747,37159.86545,26181.16173,35474.94308,15199.88332,35472.51433,41387.98961,28717.17816,21957.41647
NADP+_posi,951209.4909,1141298.325,1205774.875,1006215.171,1130892.642,1193648.938,884905.8559,949222.7635,1110457.779,866672.0303,979780.1683,788788.0539,780203.2458,610625.2363,622488.8564,678729.4542,545864.3209,573862.8493,644023.8484,997647.0814,717472.3206,724750.2364,656677.6006,757541.9843,677932.6699
NADPH,104603.797,88480.09781,124145.3375,94975.09855,108931.9218,147435.0191,198028.036,86853.12309,111361.733,108972.6375,102190.4079,98815.36933,114801.9732,74316.30464,56583.78679,30232.80061,50663.67927,47327.40955,73382.19793,147405.2716,146373.9149,121616.3135,146601.132,75998.17936,171598.1425
coenzyme A-posi,494666.0526,396252.8045,643097.8252,380700.3379,303548.3718,582677.628,723075.0013,670463.3542,528324.0781,219999.2335,243571.3068,400433.4422,514524.5667,183111.8511,261226.4438,272995.0542,107870.98,175020.6161,69254.60994,442211.0806,273512.2835,285841.1971,325488.8934,196111.3808,165676.4148
FAD,911351.7012,773695.4174,898611.7816,691622.6419,836160.6674,1135804.71,1016015.085,1143573.868,1297324.953,1089478.983,1072571.695,616545.6927,1092069.638,773342.828,770257.3247,618270.2258,722981.3058,684951.6296,738999.14,1120745.285,926509.1833,902897.0978,875851.0092,673133.097,885971.8654
acetyl-CoA-posi,366855.9934,181411.3272,483932.7694,172309.5339,240224.9559,166210.9767,223391.5065,461068.7747,516205.9616,275590.4132,359797.9134,218382.2434,207804.2821,104865.7025,133280.4881,183425.9172,233607.4121,78545.653,273085.4676,663760.1925,351390.1512,350879.7484,406929.7138,278580.8355,495094.2037
propionyl-CoA-posi,128372.6866,87757.17944,116552.4008,112313.4829,101351.8927,17736.30021,27026.86993,10981.13177,20199.76914,16046.64258,3387.070392,19426.12732,16892.74097,8444.730724,9288.773832,11825.25559,10978.69097,6770.172089,6756.821709,23507.83581,19426.21889,16047.92704,27870.43579,11822.47249,16892.46826
acetoacetyl-CoA-posi,152866.6961,87047.72484,101344.6898,75168.59507,3700.935294,23648.68251,4830.659744,40540.05736,32101.23623,22798.9401,60831.2195,34698.49602,4243.500532,37153.12505,25908.76102,19411.39907,44792.9318,21965.57347,43607.21753,5988.903483,60759.33617,48983.85804,38808.50394,52481.46495,45726.64687
malonyl-CoA-posi,25337.79438,8442.468313,33773.99464,11878.0985,21952.2767,9291.147607,9229.298684,12669.19718,9288.514446,10113.47204,5903.381032,7599.689369,10132.72332,N/A,5067.390671,N/A,N/A,N/A,18582.34795,21955.25345,18598.29463,N/A,8443.43036,5911.237421,8444.984124
succinyl-CoA-posi,208614.3742,201852.4244,186634.346,143580.4276,138425.0098,51335.91855,56505.39343,57195.51809,59965.07538,28715.55049,20038.55628,34631.26905,50510.54487,45593.20935,44763.75624,28715.05305,11807.02475,10935.59309,28714.58024,35477.28665,46451.29638,29981.37573,42230.71912,38847.41808,31248.3008
sarcosine,37940943.71,38076543.93,28448753.71,34789744.12,31914354.68,10958251.05,9229947.789,15502977.97,25749648.28,15139683.93,10941520.02,12241006,9819566.242,12621729.8,13492269.45,17966707.11,13290196.3,15288484.51,23171155.6,15668143.56,15387193.2,11137926.83,12376982.87,12671473.21,13542419.59
putrescine,34698.11292,15588.39899,21726.45305,69668.43322,17462.11682,42651.87933,427796.2556,381748.0092,320010.1375,296471.6011,305533.2816,129062.6763,474608.6362,307638.9601,260695.729,350279.8768,278696.656,381806.2973,381082.8698,473816.2218,207183.5866,270066.7974,350704.7798,357673.9999,542698.2271
spermidine,212727.8611,97614.69386,128015.4433,153435.0624,155247.8535,106056.6327,177364.8552,77465.22441,52430.2601,93443.78626,55402.33838,150337.2415,65525.88373,72953.07522,146803.2688,131995.3848,92808.93388,211205.8898,194038.2925,290535.6118,390404.8796,187521.6812,453719.5717,584284.0397,1097309.37
N-acetyl spermine,167359.7392,166506.5393,150558.7337,182214.3828,207217.9954,267416.8556,230286.0538,233791.0398,216827.5339,203164.6542,84899.69675,263316.203,185302.9223,84298.43688,185232.5518,117738.8342,237119.1464,179851.4542,191055.8343,179887.2033,197619.0335,166669.2366,151057.9188,123266.8822,206797.1641
N-acetyl spermidine,5093.924061,24437.58325,17586.32389,18541.64387,22874.76483,34611.01539,51842.28856,31548.06439,26705.32852,39652.58839,16438.32768,39016.66109,35946.18672,30172.56683,17247.74541,33294.21919,34267.58491,46281.82876,26598.17878,28208.91993,10110.66335,15003.97745,46304.07696,29132.12002,41598.16041
Nicotinamide Riboside,7261.179567,24915.35989,19183.79414,9598.827048,7387.785519,836790.2191,5113.265064,7261.089277,875460.2278,836924.8803,11842.8204,11131.11211,1087597.235,1143396.018,14236.73804,12268.91995,1092270.611,19075.46647,7795.374759,15281.99567,20510.23703,12123.75284,1002131.258,5315.778128,20634.46519
Adenylosuccinate,N/A,N/A,9291.267495,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7579.787677,N/A,N/A,N/A,N/A,N/A,N/A,5895.665868,5919.017366,3349.398257,N/A,N/A,3376.529284,N/A
cholesterol,569071.8407,977382.5051,728869.3108,675207.2261,634229.4817,504659.4517,422818.6423,467570.3299,500762.4586,474103.1767,510971.3498,525693.7427,534519.3491,584291.3658,458334.1643,616582.5804,526645.0748,875183.6298,491363.9822,418849.4911,600973.7162,527192.8478,569953.9002,476792.7091,493439.0029
arginosuccinic acid,2528649.214,2969973.787,2692064.074,2999572.018,2843976.807,2324912.079,2854669.709,2140471.468,2880222.444,2555175.163,2261717.055,1624646.132,2029311.178,2652534.372,2117444.011,2423514.025,1902406.333,2223262.322,3327549.441,2120945.345,2068370.512,1642805.293,1769169.835,1880295.286,1976964.15
phosphocreatine,11325.999,17886.44504,34922.23963,31875.8518,15475.94234,10455.7525,20977.47313,50850.1128,10661.96788,25557.87247,N/A,8417.46492,27713.983,14733.82733,10781.1486,27202.70964,N/A,8070.172983,16649.73634,12600.91195,27622.40952,4640.830211,26161.25961,50868.18966,27593.33275
retinoic acid,87903.9247,148644.722,107080.7672,113241.7066,96022.10543,85876.87466,146161.7035,64933.04537,124843.166,77548.21847,118859.8654,184821.0854,146670.5851,112666.027,145107.2659,174204.6139,99100.22294,68072.11532,119941.6719,131387.2177,176096.1704,100863.3763,93676.57294,199066.0312,206951.5103
spermine,685484.783,774444.5684,713321.5867,935881.1218,843509.7066,821980.0231,786335.1576,744983.1389,660888.1076,262467.4121,565036.0785,672085.3775,668589.7903,486984.6732,585162.8913,334583.9492,313810.1524,780518.53,610256.7989,247275.4507,477029.898,259394.4706,256241.1015,582460.9774,702817.2965
HMG-CoA_pos,10982.45263,3398.057729,19368.1264,3402.623879,3377.394669,13523.46714,19428.22244,23651.63691,20263.21731,8444.750649,16890.20739,16046.36021,18961.79088,9291.413084,5067.401425,3350.848166,4224.019373,10978.61742,10978.36961,38850.00744,32095.67956,10816.98533,16916.26347,16917.24843,26142.17987
