"Genotype","Treatment","mean","median","var","n","sd","se"
"318","Rapa",17.3448701298701,16.5125,14.7591963690595,77,3.84176995264676,0.437810318428941
"319","EtOH",10.1530660377358,9.625,1.97183740141759,106,1.40422127936362,0.136390027626711
"319","Rapa",12.8754166666667,12.5541666666667,1.47687816959735,110,1.21526876434694,0.115871330268353
"32","EtOH",9.92923689138577,9.6375,1.49278965923278,89,1.22179771616777,0.129510298893445
"32","Rapa",11.6761408730159,11.6375,5.56143568071891,84,2.35826963698363,0.257308312395084
"321","EtOH",9.25626076658053,9.41666666666667,1.34382880944624,774,1.15923630440314,0.0416678885006318
"321","Rapa",10.8397836021505,10.4708333333333,2.94781808942732,620,1.71692110751406,0.0689532109877991
"324","EtOH",9.94167124542125,9.41666666666667,0.501537347586827,91,0.708193015771002,0.0742387999905108
"324","Rapa",9.85224673202614,9.41666666666667,1.18920127597931,102,1.09050505545793,0.107976090126532
"332","EtOH",9.01500578703704,8.5,3.36308977158184,72,1.83387288861083,0.216123992561814
"332","Rapa",11.4371729957806,11.5416666666667,1.58143708899077,79,1.2575520223795,0.141485656516423
"335","EtOH",8.24240327380952,8.5,0.321178600419616,112,0.566726212927915,0.0535505936024536
"335","Rapa",12.3944240196078,11.5416666666667,4.07581062725911,34,2.0188636970482,0.34623226763934
"336","EtOH",9.09412760416667,8.5,2.21440179518711,64,1.48808662220555,0.186010827775693
"336","Rapa",10.1918300653595,10.4645833333333,0.461406917211329,51,0.679269399584089,0.0951167411927265
"348","EtOH",8.76111952861953,8.5125,0.88087559398549,99,0.938549729095635,0.0943277969242402
"348","Rapa",15.6973113207547,15.4583333333333,7.12044484218775,53,2.66841616735242,0.366535149597327
"350","EtOH",8.98328787878788,8.5,0.401366908903853,55,0.6335352467731,0.0854258752480081
"350","Rapa",10.9406976744186,10.5416666666667,1.06160765311616,43,1.0303434636645,0.15712590516038
"355","EtOH",9.01211974110032,8.5,0.322227584105379,103,0.567650935087205,0.0559323086118762
"355","Rapa",14.0993333333333,10.5416666666667,26.5840500431034,30,5.15597226942731,0.941347439278815
"356","EtOH",9.07776340996169,9.46916666666667,0.680615096555808,87,0.824993997890777,0.0884486406304647
"356","Rapa",10.8252205882353,10.5416666666667,1.54396672092967,68,1.24256457414883,0.150683087819596
"358","EtOH",9.50673449612403,9.58333333333333,3.52814876168491,86,1.87833670082999,0.202546255460296
"358","Rapa",11.8965020576132,11.5416666666667,1.62742771562071,81,1.27570675142084,0.141745194602316
"359","EtOH",10.5924724842767,10.4645833333333,0.372449369275357,106,0.610286301071355,0.0592762456220916
"359","Rapa",10.7539772727273,10.4645833333333,0.556151953205525,99,0.745755960891715,0.0749512941651143
"360","EtOH",9.03593253968254,8.6375,0.512759647181523,105,0.71607237565872,0.0698815083641774
"360","Rapa",9.56725628930818,9.58333333333333,0.336116877870121,106,0.579755877822831,0.0563108687747841
"361","EtOH",10.1426779935275,10.7083333333333,0.852521434510968,103,0.923320872996472,0.0909775089303639
"361","Rapa",11.1381485849057,10.7083333333333,0.650390489683164,106,0.806467909890507,0.0783310879321462
"362","EtOH",9.384132996633,9.58333333333333,1.48157832935363,99,1.21720102257336,0.122333305645841
"362","Rapa",11.7645833333333,11.5416666666667,1.61683892934196,104,1.27154981394437,0.124685717573223
"365","EtOH",9.15364316239316,8.5,2.85573273513484,117,1.68989133826256,0.156230509488926
"365","Rapa",10.9269682539683,10.5416666666667,4.4907330612154,105,2.11913497947049,0.206806398105304
"370","EtOH",9.39743859649123,9.41666666666667,2.03479119004293,95,1.4264610720391,0.146351818000429
"370","Rapa",13.1047306910569,12.5570833333333,8.76630695889897,82,2.96079498765095,0.32696510888105
"371","EtOH",9.58547734627832,9.41666666666667,1.28076852331075,103,1.13171044146052,0.111510743237528
"371","Rapa",9.72255892255892,9.41666666666667,0.461241854485902,99,0.679147888523481,0.0682569310119546
"374","EtOH",9.36401864035088,9.41666666666667,0.649821364370127,76,0.806114982102508,0.0924677301015508
"374","Rapa",10.260119047619,10.4645833333333,0.473801575349016,84,0.688332459897843,0.0751032285899291
"375","EtOH",8.47649456521739,8.47083333333333,0.377530746917636,92,0.614435307349468,0.0640593090439765
"375","Rapa",8.77427370030581,8.47083333333333,1.68488228010439,109,1.29803015377317,0.124328740029359
"377","EtOH",9.63643867924528,9.58333333333333,2.28259341991211,53,1.51082541013583,0.207527830364268
"377","Rapa",10.1810729166667,9.11041666666667,9.2171713487135,40,3.03597947106259,0.480030502903552
"379","EtOH",8.51041666666667,8.6375,1.58075052083333,51,1.25727901471127,0.176054276436655
"379","Rapa",9.57683531746032,9.58333333333333,2.18635166886453,42,1.47863168803611,0.228157822824075
"38","EtOH",8.82638888888889,8.58333333333333,1.18359727868112,42,1.08793257083384,0.167871640212532
"38","Rapa",9.79705284552846,9.58333333333333,2.05887173949864,41,1.43487690743793,0.224090124481671
"380","EtOH",8.2718125,8.47083333333333,0.374308488969557,100,0.611807558771185,0.0611807558771185
"380","Rapa",9.53600187265918,9.67916666666667,2.77374092376539,89,1.66545517014581,0.176537894960019
"382","EtOH",9.28661111111111,9.58333333333333,0.643026601601602,75,0.801889394867897,0.0925942115974573
"382","Rapa",13.5584490740741,13.6375,2.30807657092245,72,1.51923552187357,0.17904362328938
"383","EtOH",9.25031362007168,8.6375,1.90767671971586,93,1.38118670704429,0.143222389660872
"383","Rapa",8.84309764309764,8.6375,0.499922463724547,99,0.707051952634704,0.0710613949750743
"385","EtOH",9.64051870748299,9.58333333333333,0.494912578970592,98,0.703500233809905,0.0710642551276151
"385","Rapa",11.7846117424242,11.5416666666667,2.09422388168684,88,1.44714335215515,0.154265999674369
"386","EtOH",8.92053571428571,8.6375,0.527749379960318,91,0.726463612275466,0.0761540789178601
"386","Rapa",9.33273514851485,8.6375,1.95112537644389,101,1.3968268956617,0.138989470946896
"390","EtOH",9.64869402985075,9.58333333333333,2.48522475218604,67,1.5764595624963,0.192595188800358
"390","Rapa",11.9203993055556,11.5416666666667,1.66127751151251,48,1.28890554794078,0.186037491265902
